n1,n2,n3,n4,Tiempo
16,8,8,16,11549
16,8,8,16,11751
16,8,8,16,10318
8,16,16,8,5809
8,16,16,8,5803
8,16,16,8,7120
32,16,16,32,81309
32,16,16,32,88731
32,16,16,32,101477
16,32,32,16,45945
16,32,32,16,36911
16,32,32,16,44013
64,32,32,64,597260
64,32,32,64,588112
64,32,32,64,661459
32,64,64,32,284633
32,64,64,32,404953
32,64,64,32,304315
128,64,64,128,4518719
128,64,64,128,4835687
128,64,64,128,8086534
64,128,128,64,3973671
64,128,128,64,4014589
64,128,128,64,4169769
256,128,128,256,46550044
256,128,128,256,34881130
256,128,128,256,35733020
128,256,256,128,17464017
128,256,256,128,17549639
128,256,256,128,17141815
512,256,256,512,272471676
512,256,256,512,270391196
512,256,256,512,280209420
256,512,512,256,135261113
256,512,512,256,137068514
256,512,512,256,135981930
1024,512,512,1024,2210145231
1024,512,512,1024,2368409290
1024,512,512,1024,2207856207
512,1024,1024,512,1090393204
512,1024,1024,512,1111185973
512,1024,1024,512,1099641731
16,8,8,16,13903
16,8,8,16,11324
16,8,8,16,10610
8,16,16,8,6148
8,16,16,8,5901
8,16,16,8,5784
32,16,16,32,78216
32,16,16,32,72249
32,16,16,32,71886
16,32,32,16,36648
16,32,32,16,36818
16,32,32,16,43879
64,32,32,64,565905
64,32,32,64,593909
64,32,32,64,558571
32,64,64,32,266761
32,64,64,32,267904
32,64,64,32,268314
128,64,64,128,4439125
128,64,64,128,4270550
128,64,64,128,4670434
64,128,128,64,2091606
64,128,128,64,2161866
64,128,128,64,2212122
256,128,128,256,34161524
256,128,128,256,34706614
256,128,128,256,35110726
128,256,256,128,17285210
128,256,256,128,17647868
128,256,256,128,16544255
512,256,256,512,282226481
512,256,256,512,274407654
512,256,256,512,270638120
256,512,512,256,137794642
256,512,512,256,135720549
256,512,512,256,136082307
1024,512,512,1024,2216895702
1024,512,512,1024,2221127761
1024,512,512,1024,2271311375
512,1024,1024,512,1138082767
512,1024,1024,512,1103309123
512,1024,1024,512,1097055672
